title,author,url,notes,0,0
L'Étourdi ou les contre-temps,Molière,https://www.gutenberg.org/cache/epub/3645/pg3645.txt,,,
Le Mariage forcé,Molière,https://www.gutenberg.org/cache/epub/5178/pg5178.txt,,,
"Sganarelle, ou le Cocu imaginaire",Molière,https://www.gutenberg.org/cache/epub/5644/pg5644.txt,,,
Les Précieuses ridicules,Molière,https://www.gutenberg.org/cache/epub/5318/pg5318.txt,,,
"Lucien Leuwen; ou, l'Amarante et le Noir. Tome Premier",Stendhal,https://www.gutenberg.org/cache/epub/60030/pg60030.txt,,,
"Lucien Leuwen; ou, l'Amarante et le Noir. Tome Second",Stendhal,https://www.gutenberg.org/cache/epub/60033/pg60033.txt,,,
Les misérables Tome I: Fantine,Victor Hugo,https://www.gutenberg.org/cache/epub/17489/pg17489.txt,,,
Les misérables Tome II: Cosette,Victor Hugo,https://www.gutenberg.org/cache/epub/17493/pg17493.txt,,,
Les misérables Tome III: Marius,Victor Hugo,https://www.gutenberg.org/cache/epub/17494/pg17494.txt,,,
Les misérables Tome IV: L'idylle rue Plumet et l'épopée rue Saint-Denis,Victor Hugo,https://www.gutenberg.org/cache/epub/17518/pg17518.txt,,,
Les misérables Tome V: Jean Valjean,Victor Hugo,https://www.gutenberg.org/cache/epub/17519/pg17519.txt,,,
Han d'Islande,Victor Hugo,https://www.gutenberg.org/cache/epub/6994/pg6994.txt,,,
Le Dernier Jour d'un Condamné,Victor Hugo,https://www.gutenberg.org/cache/epub/6838/pg6838.txt,,,
L'homme Qui Rit,Victor Hugo,https://www.gutenberg.org/cache/epub/5423/pg5423.txt,,,
Quatrevingt-Treize,Victor Hugo,https://www.gutenberg.org/cache/epub/9645/pg9645.txt,,,
L'Ingénu,Voltaire,https://www.gutenberg.org/cache/epub/4651/pg4651.txt,,,
Le Blanc et le Noir,Voltaire,https://www.gutenberg.org/cache/epub/4771/pg4771.txt,,,
Chéri,Colette,https://gutenberg.org/cache/epub/6484/pg6484.txt,,,
L'Ingénue Libertine,Colette,https://www.gutenberg.org/cache/epub/67427/pg67427.txt,,,
Le blé en herbe,Colette,https://www.gutenberg.org/cache/epub/59926/pg59926.txt,,,
La maison de Claudine,Colette,https://www.gutenberg.org/cache/epub/13703/pg13703.txt,,,
Sido; suivi de Les vrilles de la vigne,Colette,https://www.gutenberg.org/cache/epub/71251/pg71251.txt,,,
La fille Elisa,Edmond de Goncourt,https://www.gutenberg.org/cache/epub/30317/pg30317.txt,,,
Germinie Lacerteux,Edmond de Goncourt and Jules de Goncourt,https://www.gutenberg.org/cache/epub/17285/pg17285.txt,,,
Mirèio,Frédéric Mistral,https://www.gutenberg.org/cache/epub/56008/pg56008.txt,,,
Le livre des enfants,Marceline Desbordes-Valmore,https://www.gutenberg.org/cache/epub/68327/pg68327.txt,,,
Poésies complètes,Arthur Rimbaud,https://www.gutenberg.org/cache/epub/29302/pg29302.txt,,,
Madame Aubin,Paul Verlaine,https://www.gutenberg.org/cache/epub/4661/pg4661.txt,,,
Poésies religieuses,Paul Verlaine,https://www.gutenberg.org/cache/epub/61039/pg61039.txt,,,
Hombres (Hommes),Paul Verlaine,https://www.gutenberg.org/cache/epub/20568/pg20568.txt,,,
Œuvres complètes - Volume 1,Paul Verlaine,https://www.gutenberg.org/cache/epub/15112/pg15112.txt,,,
"Gamiani, ou Une nuit d'excès",Alfred de Musset,https://www.gutenberg.org/cache/epub/26806/pg26806.txt,,,
Les vivants et les morts,Anna de Noailles,https://www.gutenberg.org/cache/epub/22054/pg22054.txt,,,
La Domination,Anna de Noailles,https://www.gutenberg.org/cache/epub/63905/pg63905.txt,,,
Les Climats,Anna de Noailles,https://www.gutenberg.org/cache/epub/68719/pg68719.txt,,,
Les animaux et leurs hommes: Les hommes et leurs animaux,Paul Éluard,https://www.gutenberg.org/cache/epub/60223/pg60223.txt,,,
"Les nécessités de la vie et les conséquences des rêves, précédé d'exemples",Paul Éluard,https://www.gutenberg.org/cache/epub/56511/pg56511.txt,,,
Variété I,Paul Valéry,https://www.gutenberg.org/cache/epub/65224/pg65224.txt,,,
Charmes,Paul Valéry,https://www.gutenberg.org/cache/epub/71062/pg71062.txt,,,
Clair de terre,André Breton,https://www.gutenberg.org/cache/epub/60417/pg60417.txt,,,
La Muette de Portici: Opéra en cinq actes,"Auber, Delavigne, and Scribe",https://www.gutenberg.org/cache/epub/9892/pg9892.txt,,,
Esther,Jean Racine,https://www.gutenberg.org/cache/epub/15790/pg15790.txt,,,
Mithridate,Jean Racine,https://www.gutenberg.org/cache/epub/27625/pg27625.txt,,,
L'occasion perdue recouverte,Pierre Corneille,https://www.gutenberg.org/cache/epub/63174/pg63174.txt,,,
Portraits et souvenirs,Camille Saint-Saëns,https://www.gutenberg.org/cache/epub/32963/pg32963.txt,,,
"L'autre monde; ou, Histoire comique des Etats et Empires de la Lune",Cyrano de Bergerac,https://www.gutenberg.org/cache/epub/51338/pg51338.txt,,,
Les droits de la femme,Olympe de Gouges,https://www.gutenberg.org/cache/epub/53595/pg53595.txt,,,
Les Femmes qui tuent et les Femmes qui votent,Alexandre Dumas,https://www.gutenberg.org/cache/epub/29937/pg29937.txt,,,
La dame aux camélias,Alexandre Dumas,https://www.gutenberg.org/cache/epub/2419/pg2419.txt,,,
Tendresses impériales,Emperor of the French Napoleon I,https://www.gutenberg.org/cache/epub/19700/pg19700.txt,,,
La Vénus d'Ille,Prosper Mérimée,https://www.gutenberg.org/cache/epub/16240/pg16240.txt,,,
Les diables noirs: drame en quatre actes,Victorien Sardou,https://www.gutenberg.org/cache/epub/33422/pg33422.txt,,,
"Vocabulaire, Poèmes",Jean Cocteau,https://www.gutenberg.org/cache/epub/60366/pg60366.txt,,,
Le Secret professionnel,Jean Cocteau,https://www.gutenberg.org/cache/epub/56997/pg56997.txt,,,
Thomas l'imposteur,Jean Cocteau,https://www.gutenberg.org/cache/epub/59889/pg59889.txt,,,
Le Grand Écart,Jean Cocteau,https://www.gutenberg.org/cache/epub/60079/pg60079.txt,,,
Plain-chant,Jean Cocteau,https://www.gutenberg.org/cache/epub/59905/pg59905.txt,,,
La Danse de Sophocle: Poèmes,Jean Cocteau,https://www.gutenberg.org/cache/epub/60863/pg60863.txt,,,
