title,desc,author,url,notes
Shrine of Lust,A very lucky goblin intrudes on a trio of sacred priestesses.,HighLumin,https://www.literotica.com/s/shrine-of-lust,
The Buffalo Marathon,Two people cross paths at the Buffalo marathon.,spinningwheels2,https://www.literotica.com/s/the-buffalo-marathon,
Daughter of Darkness,Demon assumes body of female and wreaks havoc on villiage.,lustfuldesires,https://www.literotica.com/s/daughter-of-darkness,
Star Wars: Lord of Darkness,"The origins of Palpatine, dark lord of the Sith.",TexWiller,https://www.literotica.com/s/star-wars-lord-of-darkness,
The Three Rites of Eugenie Hastings,"Sex, Madness, and the cults of Cthulhu.",wickedwicker10,https://www.literotica.com/s/the-three-rites-of-eugenie-hastings,
"Witch, Cruel Mermaids, Talking Dead","Love Beyond Denials: Penny & Ulysses caged, a new Odyssey.",Norway_1705,https://www.literotica.com/s/witch-cruel-mermaids-talking-dead,
The King in Yellow,Have you found the Yellow Sign?,TamLin01,https://www.literotica.com/s/the-king-in-yellow,
Redheads Have No Souls,A soul sucking redhead visits Boston. Sex & death follow.,regularguy13,https://www.literotica.com/s/redheads-have-no-souls,
Perverted Science,Two horny high school boys can't get a date-so they make one,HiRez,https://www.literotica.com/s/perverted-science,
The Honey Pot,Winnie would be proud of this one.,Mhaile,https://www.literotica.com/s/the-honey-pot,
Bisexual Haitian Adventists,Madeleine and hubby Yvens do Sylvain after SDA church.,Samuelx,https://www.literotica.com/s/bisexual-haitian-adventists,
Speaking in Boytongues,In which girl tongues become boy ones. Followed by the rest.,Gweh,https://www.literotica.com/s/speaking-in-boytongues,
Pseudopod,The story of humanity's first encounter with alien life.,Ksweetums,https://www.literotica.com/s/pseudopod,
Finals Week,Emerson faces discipline for poor finals week prep F/m.,RainyDayPen,https://www.literotica.com/s/finals-week-4,
The Rewards of Teleportation,An ambitious scientist creates a way to meet his dream girl.,Epictetus,https://www.literotica.com/s/the-rewards-of-teleportation,
The Well-Read American,Jack stumbles for real into some classic works of literature.,MsTrina,https://www.literotica.com/s/the-well-read-american-1,
Book Bindings,An old book sends Kayci over the edge.,The_Mr_J,https://www.literotica.com/s/book-bindings,
Wanking for Wendy,Not a Peter Pan biography.,encountersxxx,https://www.literotica.com/s/wanking-for-wendy,
One Halloween,An alternative to what happened that night in Sleepy Hollow.,DanceWithMe,https://www.literotica.com/s/one-halloween,
Second Circle,An infomercial from hell.,oneiria,https://www.literotica.com/s/second-circle,
Bible Study,The preacher utters the wrong phrase during his bible study.,Middleagepoet,https://www.literotica.com/s/bible-study,
Dr. Martin's Treatise on Asian Women Ch. 02,"Indonesia, arrest, sexual interrogation and a sexfight.",asiansexfight,https://www.literotica.com/s/dr-martins-treatise-on-asian-women-ch-02,
Beyond Good And Evil,It is a story of Dominance and Submissiveness.,FatherMuck,https://www.literotica.com/s/beyond-good-and-evil,
Having Fun with History Pt. 02,Benjamin Franklin discovers more than electricity.,sexygirl76,https://www.literotica.com/s/having-fun-with-history-pt-02,
"Surprise Guest, Surprise Breasts",He finds out why she's hesitant to show her boobs.,Hornyman69WithU,https://www.literotica.com/s/surprise-guest-surprise-breasts,
Marianne and Christopher,What Happens Right After Sense and Sensibility...,JaneAustenButSexy,https://www.literotica.com/s/marianne-and-christopher,
Slave Georgina's Weekly Routine,The humdrum existence of a lifestyle slave.,Slave_Georgina,https://www.literotica.com/s/slave-georginas-weekly-routine,
Kama Sutra: The Sibblings Position,Cindy chats with her brother about exotic sex postures.,Dingo_Triplesix,https://www.literotica.com/s/kama-sutra-the-sibblings-position,
The Reluctant Nudist,Sometimes the best laid plans don't turn out as expected.,Rascal720,https://www.literotica.com/s/the-reluctant-nudist-2,
Santa's the Boss,Company Christmas costume party leads to seduction.,SluttyBisexualGuy,https://www.literotica.com/s/santas-the-boss,
David's Upskirt Theatre,Glass stage and stairs allow theatrical upskirt views.,Thorilla,https://www.literotica.com/s/davids-upskirt-theatre,
Cornholed,"An antique scarecrow on Halloween. A trick, or a treat?",RichardBacula,https://www.literotica.com/s/cornholed,
Undead Intercourse,Two spirits quench their lusty thirst.,dandelion2007,https://www.literotica.com/s/undead-intercourse,
A Sexy Roller Coaster Ride,The bachelorette party got more than what they came for.,dutchpantyraider,https://www.literotica.com/s/a-sexy-roller-coaster-ride,
"Tara, Queen of the Space Pirates",Tara dresses as a sex dancer to stop a Martian invasion.,bobrobertson,https://www.literotica.com/s/tara-queen-of-the-space-pirates,
Underground,Naked Asian woman fights biker gang & explores world below.,DaveDevlin,https://www.literotica.com/s/underground,
Dog Walk (Puppy Play Kink),A Master and his Puppy go for hike for some public play.,PinkBunnyWriter,https://www.literotica.com/s/dog-walk-puppy-play-kink,
Gulliver Completed,The Expurgated Parts of Gulliver's Travels.,oggbashan,https://www.literotica.com/s/gulliver-completed,
Brass Balls and Hysteria,Steampunk erotica with steamy sex toys.,CatherineAnna,https://www.literotica.com/s/brass-balls-and-hysteria,
Pussies and Boots,Getting a piece of pussy and tail in Fantasyland.,MrJack,https://www.literotica.com/s/pussies-and-boots,
Punching Bag Ballsack,Mistress punishes me for lying with a cruel new game.,DarlingLover,https://www.literotica.com/s/punching-bag-ballsack,
Brenda's Mormon Wife ATV Adventure!,Cute Faithful Mormon Wife takes on ATV Rider Strangers!,MormonChicks,https://www.literotica.com/s/brendas-mormon-wife-atv-adventure,
Miss Americana goes to the First Thanksgiving,A heroine goes back in time to a sticky-fingered situation.,MarkVSharp,https://www.literotica.com/s/miss-americana-goes-to-the-first-thanksgiving,
Big Bang Theory-Zangen In Brazil,Penny & Bernadette explore the Amazon.,shaggy77,https://www.literotica.com/s/big-bang-theory-zangen-in-brazil,
Disciples of Lilith,Tristam is seduced by the witch Lilith but what is her plan?,Crysnia1984,https://www.literotica.com/s/disciples-of-lilith,
Hawk's Vegas Trip Drifts to Gor,BDSM vacation in Vegas remembers Gorean Kajira.,TearsShadowhawk,https://www.literotica.com/s/hawks-vegas-trip-drifts-to-gor,
Brandy and the Toad Princes,Brandy is asked to make three toads into princes.,Fairytales_Storyteller,https://www.literotica.com/s/brandy-and-the-toad-princes,
My Bottom,Older dyke plays with her submissive BBW's posterior.,willendorfer,https://www.literotica.com/s/my-bottom,
The Memoirs Of A Young Victorian Lady,She confesses her sordid history.,rlfj,https://www.literotica.com/s/the-memoirs-of-a-young-victorian-lady,
Into The Abyss: Vaginal Fisting,This article takes a look do's and dont's of fisting.,Kael01,https://www.literotica.com/s/into-the-abyss-vaginal-fisting,
Fridays at Battery Park Books,Trent experiences gay Asheville's Christmas season.,KeithD,https://www.literotica.com/s/fridays-at-battery-park-books,
Harem of Vanity,The universe's greatest space pirate queen must escape.,apple231601,https://www.literotica.com/s/harem-of-vanity,
Diamondmouth,"A female reporter seeks to interview a Pimp in Newark, NJ",Paris Waterman,https://www.literotica.com/s/diamondmouth,
Anything for a Sniff,Best friends experiment with the sense of smell.,AllthewayHolloway,https://www.literotica.com/s/anything-for-a-sniff,
Alien Impulses,"Young man is abducted by advanced, sexy aliens.",Farmerboy,https://www.literotica.com/s/alien-impulses,
The Tale of a Viking Shield Maiden,A Viking feast turns wildly erotic.,Stonemarten,https://www.literotica.com/s/the-tale-of-a-viking-shield-maiden,
In The Land Of The Amazons,Spartan warrior is taken captive by Amazons.,fmcchris,https://www.literotica.com/s/in-the-land-of-the-amazons,
Alchemist Shira's Advice,Alchemist Shira answers monsterfolk sex questions.,BacchanaliaoftheRedWolf,https://www.literotica.com/s/alchemist-shiras-advice,
"Sex, Love and Sabotage",Two anti-capitalist saboteurs find love and lust together.,AlandRF,https://www.literotica.com/s/sex-love-and-sabotage,
My Slutty Redhead Granny,A porn star from the 70's golden age bangs her grandson.,JDSavanyu,https://www.literotica.com/s/my-slutty-redhead-granny,
Synthetic Evolution,"A tale of nanomachine corruption, evolution, and ecstasy.",GadenKerensky,https://www.literotica.com/s/synthetic-evolution,
The Mallard,75 year old trainspotter enjoys my wife.,backdoorboogie,https://www.literotica.com/s/the-mallard,
Black Vampire Utopia,Black vampire discovers mythical vampire utopia. ,Samuelx,https://www.literotica.com/s/black-vampire-utopia,
Rivalry in Indian Dorm Life,Babbita is handed to a rival college for a night.,cowboy109,https://www.literotica.com/s/rivalry-in-indian-dorm-life,
In the Mermaid's Grasp,A lesbian size kink mermaid fic with tongue fucking--enjoy!,Kassandra_of_Knossos,https://www.literotica.com/s/in-the-mermaids-grasp,
Amorous Goods: The Magic Lamp,An Aladdin's lamp releases the tentacle porn star.,Lifestyle66,https://www.literotica.com/s/amorous-goods-the-magic-lamp,
Canadian Bacon,Wilderness tour is attacked by escaping convicts.,2soon2no,https://www.literotica.com/s/canadian-bacon,
Bound for Glory,Harlene begged to be a cuckquean in the best of ways!,justincbenedict,https://www.literotica.com/s/bound-for-glory-1,
Nude Secretaries Day: Reporting Live,Nude secretaries featured on live TV broadcast,Totzman,https://www.literotica.com/s/nude-secretaries-day-reporting-live,
My Mom Shaved My Bully's Balls!,I walked in on my milf mom shaving my bully's big ballsack.,I_Love_MILF,https://www.literotica.com/s/my-mom-shaved-my-bullys-balls,
Forest of Hungry Ghosts,An Ainu searches for his lost love.,oneiria,https://www.literotica.com/s/forest-of-hungry-ghosts,
Chubby Hijabi and Stranger,Hijabi student is seduced by anonymous stranger's gifts.,Darkromantic1975,https://www.literotica.com/s/chubby-hijabi-and-stranger,
The Dread Lotus Ch. 01,A young sailor is captured by a dreaded Chinese Pirate Queen.,Accipiter12,https://www.literotica.com/s/the-dread-lotus-ch-01,
Satan's Sissy,A tormented sissy prays to Satan to make him female.,nancyvasquez,https://www.literotica.com/s/satans-sissy,
Taking the Magician's Load,Grace has come up with a plan to make it big...,Namazuros,https://www.literotica.com/s/taking-the-magicians-load,
Cthasguahafgh,"Light erotic horror, no teen vampires or costume parties.",nicecthulhu,https://www.literotica.com/s/cthasguahafgh,
Gunboats & Gloryholes,Prim Christian ladies are corrupted by the new regime.,FazilKotuk,https://www.literotica.com/s/gunboats-and-gloryholes,
The Bacchae,With the followers of the god of wine & passion.,dr_mabeuse,https://www.literotica.com/s/the-bacchae,
The Winnebago,Heather's adventures with a couple in a Winnebago.,2Ready05,https://www.literotica.com/s/the-winnebago,
Serving at Bar Sappho,Serving as a slut for Bar Sappho.,SweetJosie1,https://www.literotica.com/s/serving-at-bar-sappho,
Olive's Anal Ordeal,Sweet Vicar's wifey blackmailed by choirmaster.,bubblearseman,https://www.literotica.com/s/olives-anal-ordeal,
A Birder in the Bush,Danny finds a dreamy pair of birds to add to his life list.,jcleland21,https://www.literotica.com/s/a-birder-in-the-bush,
FNN Fuck News Network 6 AM,Robin Meade and Company start off with a bang.,baranbrat,https://www.literotica.com/s/fnn-fuck-news-network-6-am,
Rogeringham,Oh Dear! My bodice seemes to have been ripped!,scipioparkins,https://www.literotica.com/s/rogeringham,
Trojan Whores,So you think you know the story of the fall of Troy eh?,Wholemanz,https://www.literotica.com/s/trojan-whores,
Don't Let It Go To Waste,An encounter with Dave Grohl of the Foo Fighters.,miss_js,https://www.literotica.com/s/dont-let-it-go-to-waste,
Venus in Furs,A fan-fiction continuation of the famous work Venus in Furs.,scorpia95,https://www.literotica.com/s/venus-in-furs-1,
Plague & Pregnancy,"She's knocked-up and horny, but the world has shut down.",gettinitdunn006,https://www.literotica.com/s/plague-and-pregnancy,
Hell Has No Fury Like A Drag Queen,Phyllis thought her best fried Susan understood about Ruth.,Victor C. Anderson,https://www.literotica.com/s/hell-has-no-fury-like-a-drag-queen,
The Jungle Goddess & The Tiger Men,She's caught trespassing through their territory.,justtheone,https://www.literotica.com/s/the-jungle-goddess-and-the-tiger-men,
Jeeves,She has limo driver fantasies.,Suzi64,https://www.literotica.com/s/jeeves,
Assholes and Our Souls,Kinky past life regression.,P_J_Trousers,https://www.literotica.com/s/assholes-and-our-souls,
Uncle Tom's Cabin Ch. 01,18 yr old Billy lives with his Uncle Tom in remote Oregon.,posingstrap1,https://www.literotica.com/s/uncle-toms-cabin-2,
Small Penis Syndrome Clinic,John gets referred to a specialist for his little problem.,subliminalmassage,https://www.literotica.com/s/small-penis-syndrome-clinic,
One Night in Baltimore,Couple unexpectedly exposes themselves.,SluggerOToole,https://www.literotica.com/s/one-night-in-baltimore-1,
A Bet in Branson,A wife bets her pussy on her husband's poker hand.,LynnGKS,https://www.literotica.com/s/a-bet-in-branson,
Cockweasel Meets The King,Horny goblin goes on an adventure with a busty mystery girl.,GeorgeTasker,https://www.literotica.com/s/cockweasel-meets-the-king,
Body Mod Charity,A woman sacrifices her body to save an animal shelter.,TattooedPup,https://www.literotica.com/s/body-mod-charity,
My Boner Turns Me Invisible Ch. 01,A sexually frustrated high school student turns invisible.,JeffreyFreemont,https://www.literotica.com/s/my-boner-turns-me-invisible-ch-01,
Invisible Gigolo,Unsatisfied milf takes the services of an invisible gigolo.,Monadang,https://www.literotica.com/s/invisible-gigolo,
Princess & The Pauper,A moving story of true love... and big boobs.,GeorgeTasker,https://www.literotica.com/s/princess-and-the-pauper,
Unwanted Inflation,His transformation into a pool toy inflatable...,AmethystMare,https://www.literotica.com/s/unwanted-inflation,
Heidi's Way,Jack asks Heidi to lock him in a cage.,AndreaJordan,https://www.literotica.com/s/heidis-way,
Satan's Slut,Lilith rejects Adam for her free will and Satan's dick.,born2rebellis,https://www.literotica.com/s/satans-slut-1,
Church Strapon Femdom,Strapon play in a church. Guy/girl fun with humiliation.,Dyllarydoo,https://www.literotica.com/s/church-strapon-femdom,
The Lord of the Snails,David & Anna are fascinated by snails.,SlipperySam,https://www.literotica.com/s/the-lord-of-the-snails,
Super Mario Trip,"Mario and Luigi have a fun adventure, with consequences.",Axelotl,https://www.literotica.com/s/super-mario-trip,
Bedbugs and Boobs Pt. 01,John gets referred to a specialist for his little problem.,mcskyy,https://www.literotica.com/s/bedbugs-and-boobs-pt-01,
Queen of the Roller Derby,1956: Kitty finds a new kind of love at the roller derby.,MelissaBaby,https://www.literotica.com/s/queen-of-the-roller-derby,
Erotic Sentient Slime,Turning a toy slime into a sentient sex-toy using nanobots.,FreudToTheMax,https://www.literotica.com/s/erotic-sentient-slime,
Trailer Park Trash Ch. 01,Trashy fuck times at the trailer park.,DickThePimp,https://www.literotica.com/s/trailer-park-trash-ch-01,
Felix the Slutty Man-Cat,Meeting a cat-man in heat isn't all that's cracked up to be.,tarkustrooper,https://www.literotica.com/s/felix-the-slutty-man-cat,
Gaseous Possession,A BBW must burp her way to freedom.,whatsonsecond,https://www.literotica.com/s/gaseous-possession,
The Boobfish,"Picture a mermaid, replace the tail by one big (hungry) tit.",sarus,https://www.literotica.com/s/the-boobfish,
Kidnapped by a Caveman,Badly beaten man must drink the caveman's cum to survive.,SadisticSmut,https://www.literotica.com/s/kidnapped-by-a-caveman,
The Furry Convention,A fursuiter attends a convention and has the ultimate hookup.,the_laughing_man,https://www.literotica.com/s/the-furry-convention,
Plushie World: Welcome to Plushy U,Human student starts plushie filled college.,The Scribe of Domina,https://www.literotica.com/s/plushie-world-welcome-to-plushy-u,
Used Ponygirl Dealer,The story of what may happen in a dystopian society.,Boxlicker101,https://www.literotica.com/s/used-ponygirl-dealer,
The Professor's New Furniture,Straight rugby player is transformed into an object.,FitBullGoBrr,https://www.literotica.com/s/the-professors-new-furniture,
Mom and Dad Shrink into Fuck-Toys,Krysti and her boyfriend accidentally shrink her parents.,jdb821,https://www.literotica.com/s/mom-and-dad-shrink-into-fuck-toys,
Bubblegum Toes,Two lesbian lovers find that there is more to their toes.,zephyrumi,https://www.literotica.com/s/bubblegum-toes,
The Trench Coat Flasher,A mysterious man terrorizes a town with his exhibitionism. ,Fatcock222,https://www.literotica.com/s/the-trench-coat-flasher,
Another Day at the Office,"A real girl stands in for a RealDoll at Hump-a-RealDoll, Inc.",evesdream,https://www.literotica.com/s/another-day-at-the-office-1,
How To Seduce a Huge Pair Of Boobs,A pick up artist takes advantage of a shy busty girl.,Zaos1,https://www.literotica.com/s/how-to-seduce-a-huge-pair-of-boobs,
Hypno Bimbo in Self Bondage,"She's been hypnotized to be an eager to please, slutty bimbo.",Revanto,https://www.literotica.com/s/hypno-bimbo-in-self-bondage,
Granny Panties,What lies beneath a mature girl's clothes?,saucy_angie,https://www.literotica.com/s/granny-panties,
The Beckham Centre,A young dancer is taken hostage by nanobots.,JohnMurray4173,https://www.literotica.com/s/the-beckham-centre,
Bustin' Makes Me Feel Good,Three friends have an idea while they watch Ghostbusters.,DontMindMePls,https://www.literotica.com/s/bustin-makes-me-feel-good,
"Thrifty, Male, Pregnant",A preggo woman meets her first preggo man at a thrift store.,gettinitdunn006,https://www.literotica.com/s/thrifty-male-pregnant,
Chicken Fettuccine,"Meal of fettuccine, piss & cum at sidewalk restaurant.",Soaked G,https://www.literotica.com/s/chicken-fettuccine,
The Parasite,A parasite helps a less-than-average man become a bull.,pietop,https://www.literotica.com/s/the-parasite-1,
Modem Magic,When cyber sex gets really good.,Hitchhiker,https://www.literotica.com/s/modem-magic,
Cybercafe,A hot roleplay scene in a cyber cafe.,DireLilith,https://www.literotica.com/s/cybercafe,
Transforming for the Tanuki,A young woman is swept away by an anthro tanuki...,AmethystMare,https://www.literotica.com/s/transforming-for-the-tanuki,
Jay Becomes a Feeder,"Jay meets a woman who wants to be fed, and dominated.",msxxl,https://www.literotica.com/s/jay-becomes-a-feeder,
Stuck Between,Beth is stuck in a wall & gets used by the guys who find her.,LadyAmity,https://www.literotica.com/s/stuck-between,
Strullmann's Golden Orgy,A Socal Orgy for Swingers and Golden Shower Lovers.,folkie5270,https://www.literotica.com/s/strullmanns-golden-orgy,
At Periscope Depth,A U.S. nuclear submarine encounters a cruise ship.,John_the_Author,https://www.literotica.com/s/at-periscope-depth,
Mime,A mime's act suddenly gets very sexy.,Algonquin Twit,https://www.literotica.com/s/mime,
Barbara Becomes a Bimbo,47 year old MILF with an MBA gets turned into a Bimbo.,Veri,https://www.literotica.com/s/barbara-becomes-a-bimbo-2,
